Time,RAM [MB],CPU Use [%],GPU Use [%]
13:18:30.701,37.1,15.3,26.4
13:18:32.719,37.1,27.0,26.2
13:18:34.716,37.0,25.8,26.1
13:18:36.722,37.0,15.7,26.1
13:18:38.722,37.0,18.6,26.1
13:18:40.733,36.9,14.5,26.7
13:18:42.738,37.0,14.4,26.6
13:18:44.745,37.0,13.2,26.6
13:18:46.762,37.0,13.9,26.6
13:18:48.771,37.0,13.1,26.6
13:18:50.775,37.0,13.6,26.5
13:18:52.785,37.0,14.7,26.5
13:18:54.792,37.0,16.9,26.5
13:18:56.796,37.0,14.6,26.5
13:18:58.810,37.0,15.3,26.7
13:19:0.824,37.0,20.4,26.5
13:19:2.838,37.2,19.6,26.5
13:19:4.845,37.2,16.4,26.5
13:19:6.848,37.2,13.8,26.4
13:19:8.858,37.1,13.6,26.4
13:19:10.862,37.1,13.6,26.4
13:19:12.875,37.1,13.2,26.4
13:19:14.888,37.1,13.1,26.4
13:19:16.891,37.1,13.7,26.4
13:19:18.891,37.1,13.0,26.4
13:19:20.899,37.1,13.3,26.4
13:19:22.908,37.1,13.5,26.2
13:19:24.914,37.0,13.4,26.1
13:19:26.926,37.0,13.9,26.1
13:19:28.938,37.0,13.6,26.1
13:19:30.945,37.0,13.4,26.1
13:19:32.950,37.0,13.2,26.1
13:19:34.963,37.0,13.5,26.1
13:19:36.975,37.1,13.6,26.0
13:19:38.984,37.1,13.1,26.0
13:19:40.989,37.0,13.1,26.0
13:19:43.003,37.1,12.9,26.0
13:19:45.012,37.0,13.1,26.0
13:19:47.021,37.1,14.7,26.3
13:19:49.022,37.0,14.7,26.3
13:19:51.028,37.1,16.6,26.3
13:19:53.039,37.1,13.4,26.3
13:19:55.051,37.1,13.6,26.3
13:19:57.058,37.1,14.3,26.3
13:19:59.062,37.1,14.8,26.4
13:20:1.075,37.1,21.3,26.4
13:20:3.078,37.2,20.4,26.4
13:20:5.082,37.2,18.4,26.4
13:20:7.095,37.2,14.5,26.4
13:20:9.104,37.1,13.1,26.4
13:20:11.107,37.1,13.2,26.2
13:20:13.108,37.1,12.9,26.2
13:20:15.117,37.1,13.0,26.2
13:20:17.133,37.1,13.1,26.2
13:20:19.145,37.0,12.7,26.2
13:20:21.150,37.0,13.1,26.2
13:20:23.148,37.0,12.9,26.2
13:20:25.148,37.1,17.1,26.4
13:20:27.154,37.1,13.7,26.4
13:20:29.159,37.1,13.0,26.3
13:20:31.162,37.0,13.0,26.3
13:20:33.171,37.0,13.0,26.3
13:20:35.180,37.0,13.7,26.3
13:20:37.187,37.0,13.8,26.3
13:20:39.190,37.0,13.2,26.3
13:20:41.198,37.0,13.2,26.3
13:20:43.205,37.0,12.9,26.3
13:20:45.207,37.0,13.1,26.5
13:20:47.212,37.0,13.1,26.5
13:20:49.218,37.0,13.3,26.6
13:20:51.231,37.0,14.0,26.6
13:20:53.229,37.0,12.8,26.6
13:20:55.265,36.9,16.2,26.6
13:20:57.243,37.0,24.0,27.1
13:20:59.245,37.1,27.9,27.1
13:21:1.286,37.2,29.5,27.0
13:21:3.263,37.2,17.1,26.8
13:21:5.263,37.3,15.4,26.5
13:21:7.344,37.6,23.3,26.4
13:21:9.275,37.6,21.5,26.5
13:21:11.272,37.6,15.6,26.5
13:21:13.409,37.6,16.7,27.5
13:21:15.291,38.1,29.1,27.6
13:21:17.301,38.3,27.2,27.5
13:21:19.469,39.0,46.7,28.0
13:21:21.316,39.1,31.0,28.1
13:21:23.331,39.5,29.8,27.8
13:21:25.529,39.7,32.1,27.8
13:21:27.348,40.3,37.6,27.5
13:21:29.351,40.7,35.7,27.5
13:21:31.553,41.0,42.5,27.8
13:21:33.427,41.5,23.2,27.7
13:21:35.364,42.0,21.2,27.8
13:21:37.624,42.1,34.2,28.0
13:21:39.394,41.9,38.4,28.6
13:21:41.397,41.9,23.0,28.6
13:21:43.415,41.6,33.2,28.2
13:21:45.431,41.5,20.6,28.2
13:21:47.436,41.3,23.8,28.2
13:21:49.455,41.4,32.7,28.8
13:21:51.455,41.5,23.9,28.9
13:21:53.465,41.5,19.1,29.0
13:21:55.475,41.9,25.2,29.6
13:21:57.485,41.9,27.1,31.6
13:21:59.499,41.4,17.0,33.0
13:22:1.517,41.7,22.2,34.7
13:22:3.540,41.9,39.2,35.9
13:22:5.531,41.8,41.4,36.3
13:22:7.546,41.6,22.2,36.3
13:22:9.544,41.5,24.6,35.8
13:22:11.559,41.6,24.4,35.8
13:22:13.570,41.7,30.3,36.3
13:22:15.578,41.7,25.7,35.8
13:22:17.584,41.7,21.7,35.7
13:22:19.603,41.7,24.8,35.0
13:22:21.594,41.5,18.3,34.8
13:22:23.602,41.4,16.1,34.6
13:22:25.610,41.7,25.1,28.7
13:22:27.619,41.7,19.6,28.3
13:22:29.621,41.7,15.6,28.3
13:22:31.676,41.5,25.2,28.3
13:22:33.652,41.6,29.0,28.6
13:22:35.663,41.5,21.7,28.5
13:22:37.682,41.5,21.8,28.1
13:22:39.686,41.6,28.0,28.7
13:22:41.697,41.7,25.3,28.7
13:22:43.703,41.7,16.5,28.6
13:22:45.707,41.7,20.1,28.4
13:22:47.710,41.5,17.1,28.1
13:22:49.715,41.7,20.5,28.6
13:22:51.733,41.7,16.0,28.4
13:22:53.736,41.7,18.7,28.3
13:22:55.742,41.8,24.1,28.6
